Platform Code,Rank,Club ID,Club Name,Skill Rating,Best Division,Current Division,Wins,Ties,Losses,Games Played,Goals,Goals Against,Clean Sheets,Goals Per Game,Goals Against Per Game,Reputation Level
nx,62,1024236,real madrid cg,1568,5,5,8,1,4,13,28,14,6,2.15,1.08,1
nx,63,1279828,Bamas FC,1565,3,3,23,10,19,52,121,101,14,2.33,1.94,2
nx,64,1289416,Burgertown,1560,6,6,3,0,0,3,9,1,2,3.00,0.33,1
nx,65,1033106,fc fille,1556,5,5,4,1,4,9,30,29,1,3.33,3.22,1
nx,66,1362760,monopattino fc,1555,5,5,4,0,0,4,7,0,4,1.75,0.00,1
nx,67,589555,MADERAS FC,1554,3,3,95,22,107,224,632,685,25,2.82,3.06,4
nx,68,1392626,HelloKitty Crew,1551,4,4,14,4,7,25,82,58,5,3.28,2.32,1
nx,69,1231460,Pajax d Arsenal,1551,5,5,4,3,2,9,20,15,2,2.22,1.67,1
nx,70,1000465,J4B FC 2 X LV,1551,6,6,2,0,0,2,7,2,0,3.50,1.00,1
nx,71,974752,fc rayz,1550,6,6,2,0,0,2,8,1,1,4.00,0.50,1
nx,72,715002,neymar fce,1550,3,5,98,17,131,246,714,845,15,2.90,3.43,5
nx,73,978625,WE LOVE HUZZ,1549,6,6,3,0,1,4,12,6,2,3.00,1.50,1
nx,74,568745,amar x le̱,1549,4,6,21,4,14,39,141,109,4,3.62,2.79,2
nx,75,1033128,FC TANA 92I,1548,6,6,2,0,0,2,10,5,0,5.00,2.50,1
nx,76,1468666,THE ROKIE FC S5,1544,4,4,17,3,12,32,107,97,6,3.34,3.03,1
nx,77,1497504,VACANCE FC,1540,6,6,5,0,1,6,31,18,0,5.17,3.00,1
nx,78,748659,FC NON CHALANT,1540,6,6,2,0,0,2,6,1,1,3.00,0.50,1
